Date,State,City_County,Address,Killed,Injured,Operations
7/31/2017,South Carolina,Lancaster,509 E Dunlap St,1,0,N/A
7/30/2017,Florida,Tampa,1020 E Hannah Ave,1,0,N/A
7/29/2017,Missouri,Miller,N/A,1,0,N/A
7/23/2017,Missouri,Saint Louis,1400 block of Kealty Ln,1,0,N/A
7/12/2017,Wisconsin,Racine,1800 block of Howe St,1,0,N/A
7/4/2017,Mississippi,Louisville,4000 block of Highpoint Weir Road,1,0,N/A
7/4/2017,Georgia,Atlanta,2591 Etheridge Dr NW,1,0,N/A
7/1/2017,Mississippi,Jackson,3720 Cromwell Street,1,0,N/A
7/1/2017,Georgia,Cordele,Culpepper Rd,1,0,N/A
6/26/2017,Indiana,Indianapolis,7100 block of Warrior Trail,1,0,N/A
6/26/2017,Alabama,Montgomery,1714 Coral Ln,1,1,N/A
6/25/2017,Arkansas,El Dorado,N/A,1,0,N/A
6/20/2017,Michigan,Clinton,24204 Lotus Drive,1,0,N/A
6/20/2017,Arkansas,Danville,Belleville Ridge Road,1,0,N/A
6/18/2017,Pennsylvania,Saylorsburg,500 block of Ash Lane,1,0,N/A
6/16/2017,South Carolina,Spartanburg,Whitener Avenue,1,0,N/A
6/10/2017,Indiana,Hobart,100 block of East 10th Avenue,1,0,N/A
6/8/2017,Mississippi,Monticello,88 Mt Olive Rd,1,0,N/A
6/6/2017,Tennessee,Nashville,766 Lewis Street,1,0,N/A
6/3/2017,Pennsylvania,Chester,2902 Bethel Road,1,0,N/A
5/26/2017,Arkansas,West Helena,257 N Baringo St,1,0,N/A
5/20/2017,Illinois,Des Plaines,2106 David Drive,1,0,N/A
5/15/2017,Virginia,Locust Grove,10438 Cecelia Lane,1,0,N/A
5/15/2017,Virginia,Locust Grove,Mine Run Rd,1,0,N/A
5/12/2017,South Carolina,Starr,500 block of  Agnew Road,1,0,N/A
5/11/2017,Indiana,East Chicago,3500 block of Guthrie Street,1,0,N/A
5/10/2017,Georgia,Winder,2500 block of Avalon Cir,1,0,N/A
4/30/2017,Virginia,Henrico,1600 block of Henrico Arms Place,1,0,N/A
4/30/2017,Florida,Jacksonville,Willow Branch Avenue,1,0,N/A
4/23/2017,Mississippi,Vicksburg,2004 Ford St,1,0,N/A
4/13/2017,Texas,Katy,21323 Finbury Oaks Lane,1,0,N/A
4/2/2017,Texas,Corpus Christi,1000 block of Vaky Street,1,0,N/A
3/26/2017,Oklahoma,Ochelata,North 3950 Road,1,0,N/A
3/25/2017,North Carolina,High Point,1301 Filbert Place,1,0,N/A
3/23/2017,Texas,Whitney,200 block of FM 1534,1,0,N/A
3/21/2017,Kentucky,Mount Olivet,4214 Pinhook Road,1,0,N/A
3/20/2017,Arizona,Phoenix,3428 W Rosewood Ave,1,0,N/A
3/19/2017,South Dakota,Charles Mix (county),N/A,1,0,N/A
3/18/2017,New Jersey,Newark,878 S 19th St,1,0,N/A
3/14/2017,Missouri,Saint Louis,3300 block of Michigan Ave,1,0,N/A
3/12/2017,Pennsylvania,Pittsburgh (Mount Washington),714 Southern Ave,1,0,N/A
2/27/2017,Arkansas,Beebe,South Cypress Street,1,0,N/A
2/13/2017,Missouri,Saint Louis (Jennings),Minnie Ave,1,0,N/A
2/6/2017,Georgia,Fort Valley,1103 E Church St,1,0,N/A
2/4/2017,Florida,Jacksonville,700 N Lincoln St,1,1,N/A
2/3/2017,Massachusetts,Dudley,N/A,1,0,N/A
2/2/2017,Idaho,Peck,22400 block of Big Canyon Road,1,0,N/A
2/2/2017,South Carolina,Myrtle Beach,Afton Court,1,0,N/A
2/1/2017,New Mexico,Carlsbad,900 block of Lamont Street,1,0,N/A
1/20/2017,Florida,Auburndale,100 block of Lakeside Hills Loop,1,0,N/A
1/13/2017,Missouri,Carthage,1054 James Street,1,0,N/A
1/11/2017,California,Chowchilla,205 Alameda Avenue,1,0,N/A
1/8/2017,Tennessee,Cedar Hill,6110 Smith Road,1,0,N/A
1/6/2017,Tennessee,Jackson,220 Vann Dr,1,0,N/A
1/3/2017,North Carolina,Pinetown,334 Main Street,1,0,N/A
1/1/2017,Alabama,Athens,16931 Buckskin Drive,1,0,N/A
12/31/2016,Indiana,Indianapolis,4006 Newburgh Drive,1,0,N/A
12/31/2016,New Jersey,Stratford,Union Ave,1,0,N/A
12/30/2016,Mississippi,Meridian,803 29th St,1,0,N/A
12/26/2016,South Carolina,Andrews,1358 Mount Pleasant Dr,1,0,N/A
12/24/2016,Louisiana,Plaquemine,N/A,1,0,N/A
12/23/2016,Ohio,Cleveland,3811 Library Avenue,1,0,N/A
12/21/2016,Arkansas,Little Rock,2510 Romine Road,1,0,N/A
12/21/2016,Ohio,Columbus,2700 block of Noe Bixby,1,0,N/A
12/9/2016,Florida,Pensacola,2200 block of Brookpark Road,1,0,N/A
12/6/2016,Georgia,Mableton,6660 Mableton Pkwy SE,1,0,N/A
12/4/2016,Ohio,Toledo,2400 block of Seaman Street,1,0,N/A
11/23/2016,West Virginia,Troy,Highway 47 West,1,0,N/A
11/13/2016,Colorado,Park (county),N/A,1,0,N/A
11/13/2016,Michigan,Ypsilanti,212 Stevens Drive,1,0,N/A
11/12/2016,Colorado,Grand Junction (Fruitvale),3060 Sandpiper Avenue,1,0,N/A
11/4/2016,Kansas,Kansas City,7569 State Avenue,1,0,N/A
10/29/2016,Ohio,Toledo,123 Rockingham Street,1,0,N/A
10/27/2016,Missouri,Kansas City,18th and Topping,1,0,N/A
10/20/2016,California,Stockton,8926 Ledgewood Avenue,1,0,N/A
10/13/2016,Illinois,Waukegan,1100 block of Greenfield Avenue,1,0,N/A
10/1/2016,Georgia,Mcdonough,961 King Mill Road,1,0,N/A
9/30/2016,Wisconsin,Milwaukee,2100 block of North 15th Street,1,0,N/A
9/28/2016,Arizona,Avondale,525 E Harrison Dr,1,0,N/A
9/18/2016,Florida,West Palm Beach,1200 block of W 32nd St,1,0,N/A
9/18/2016,Florida,Tampa,6727 S. Lois Ave.,1,0,N/A
9/12/2016,Pennsylvania,Quakertown,2100 block of Kumry Road,1,0,N/A
9/11/2016,Kentucky,Louisville,1600 block of Brashear Drive,1,0,N/A
9/1/2016,South Carolina,Columbia,228 Meredith Square,1,2,N/A
8/28/2016,Kentucky,Louisville,3015 Penway Ave,1,0,N/A
8/25/2016,Tennessee,Parrottsville,Shenandoah Way,1,0,N/A
8/18/2016,Montana,Belgrade,1005 Cardinal Dr,1,0,N/A
8/15/2016,Mississippi,Byhalia,95 Rebecca Drive,1,0,N/A
8/14/2016,Iowa,Garner,2194 Sioux Ave,1,0,N/A
8/13/2016,Virginia,Danville,800 block of Edmonds Street,1,0,N/A
8/8/2016,Tennessee,Hendersonville,118 Shady View Drive,1,0,N/A
8/6/2016,Idaho,Weiser,Macomb Road,1,0,N/A
8/2/2016,South Carolina,Coward,4312 Circle Drive,1,1,N/A
8/2/2016,Louisiana,Marrero,2000 block of Fernando Court,1,0,N/A
7/31/2016,Alabama,Birmingham (Homewood),1301 Lakeshore Dr.,1,0,N/A
7/31/2016,Texas,Houston,300 block of De Haven St,1,0,N/A
7/26/2016,Texas,Houston,9700 block of Shady Tree Ln,1,0,N/A
7/20/2016,Georgia,Jones (county),113 Horseshoe Bend Court,1,0,N/A
7/18/2016,South Carolina,Gaston,2400 block of Glenn Road,1,0,N/A
7/16/2016,Ohio,Cincinnati,6200 block of Chandler Street,1,0,N/A
7/15/2016,Florida,Port Orange,829 Hudson Lane,1,0,N/A
7/14/2016,Alabama,Leighton,1500 block of Hwy 157,1,0,N/A
7/14/2016,Colorado,Steamboat Springs,N/A,1,0,N/A
7/11/2016,Texas,Marion (county),Monica Drive,1,0,N/A
7/8/2016,Michigan,Alma,Penrith Avenue,1,0,N/A
7/3/2016,Kentucky,Lowmansville,July Drive,1,0,N/A
7/2/2016,California,Lemoore,800 block of Dogwood Avenue,1,0,N/A
7/1/2016,Tennessee,Clarksville,874 Samantha Lane,1,0,N/A
6/25/2016,New Jersey,East Orange,112 Norman Street,1,0,N/A
6/23/2016,Pennsylvania,Philadelphia,1800 block of N 20th Street,1,0,N/A
6/20/2016,Colorado,Conejos (county),N/A,1,0,N/A
6/17/2016,Iowa,Elgin,210 Main Street,1,0,N/A
6/3/2016,Colorado,Aurora,1575 Galena Street,1,0,N/A
5/26/2016,Virginia,Roanoke,2000 block of Carroll Avenue NW,1,0,N/A
5/21/2016,Louisiana,La Place (Laplace),19 Country Club Dr,1,0,N/A
5/20/2016,Illinois,Barry,186 E 2700th St,1,0,N/A
5/20/2016,Alabama,Horton,Welcome Home Church Road,1,0,N/A
5/12/2016,Ohio,Hilliard,5100 block of Scioto Darby Road,1,0,N/A
5/10/2016,Michigan,Detroit,19700 block of Oakfield Street,1,0,N/A
5/1/2016,Indiana,Indianapolis,Gale and Vermont,1,0,N/A
4/26/2016,Georgia,Dallas,Camp Circle and Dallas Acworth Highway,1,0,N/A
4/26/2016,Wisconsin,Milwaukee,U.S. 41/Highway 175,1,0,N/A
4/22/2016,Louisiana,Natchitoches,600 block of Sabine Alley,1,0,N/A
4/21/2016,Missouri,Kansas City,2600 block of Lawn Avenue,1,0,N/A
4/20/2016,Indiana,Indianapolis,5200 block of Alameda Road,1,0,N/A
4/16/2016,Pennsylvania,Philadelphia,200 block of E. Mayfield Street,1,0,N/A
3/20/2016,Illinois,Chicago (Englewood),6700 block of S. Aberdeen St.,1,0,N/A
3/19/2016,Texas,Palestine,300 block of Anderson County Road 1370,1,0,N/A
3/11/2016,Georgia,Norcross,4900 block of Appaloosa Trail,1,0,N/A
3/1/2016,Florida,Sanford,Highlawn Avenue,1,0,N/A
2/29/2016,Tennessee,Apison,4724 Gates Lane,1,0,N/A
2/26/2016,Indiana,Sunman,Van Wedding Road,1,0,N/A
2/21/2016,Indiana,Hartsville,200 block of Clinton Street,1,0,N/A
2/21/2016,Florida,Fountain,11601 Nonawood Road,1,0,N/A
2/16/2016,Texas,Lubbock,2538 71st St,1,0,N/A
2/6/2016,Alabama,Birmingham (Irondale),2359 Monroe Dr,1,0,N/A
1/30/2016,Maryland,Baltimore,400 block of N. Athol Avenue,1,0,N/A
1/25/2016,Tennessee,Crossville,2009 N Main St,1,0,N/A
1/23/2016,Alaska,Iliamna (Kokhanok),N/A,1,0,N/A
1/20/2016,Michigan,Flint,1300 block of Columbia Lane,1,0,N/A
1/20/2016,Louisiana,New Orleans,5600 block of Red Maple Drive,1,0,N/A
1/19/2016,Texas,Cypress,15400 block of Redbud Berry Way,1,0,N/A
1/10/2016,North Carolina,Lumberton,2200 block of Martin Luther King Jr. Drive,1,0,N/A
1/9/2016,Kentucky,Louisville,400 block of N. 34th Street,1,0,N/A
1/4/2016,Tennessee,Memphis,1400 block of Briercrest Lane,2,1,N/A
1/4/2016,Colorado,Trinidad,806 E. Goddard Avenue,1,0,N/A
12/28/2015,Alaska,Bethel,N/A,1,0,N/A
12/26/2015,Michigan,Kent (county),Lincoln Lake Avenue,1,1,N/A
12/11/2015,Kansas,South Hutchinson,107 East Avenue B,1,0,N/A
12/9/2015,Texas,Dallas,4900 block of South Buckner Boulevard,1,0,N/A
12/4/2015,Utah,Spanish Fork (Lake Shore),N/A,1,0,N/A
11/28/2015,New York,Rome,519 West Dominick,1,0,N/A
11/28/2015,Georgia,Atlanta,1041 Martin Street SE,1,0,N/A
11/21/2015,Tennessee,Goodlettsville,452 Moss Trail,1,0,N/A
11/18/2015,Arkansas,Little Rock,3401 Lamar Street,1,0,N/A
11/17/2015,Arkansas,Benton,Nelson Court,1,0,N/A
11/15/2015,South Carolina,Rock Hill,Amelia Avenue,1,0,N/A
11/11/2015,Georgia,Jackson,500 block of Carr Avenue,1,0,N/A
11/9/2015,Michigan,Detroit,6600 block of Barton Street,1,0,N/A
10/27/2015,Georgia,Acworth,1059 Athena Court,1,0,N/A
10/26/2015,North Carolina,Hendersonville,158 Golden Eagle Way,1,0,N/A
10/17/2015,Georgia,Dallas,400 block of Fairview Drive,1,1,N/A
10/17/2015,Illinois,Chicago,1000 block of North Francisco Avenue,1,0,N/A
10/10/2015,Utah,Cache (county),N/A,1,0,N/A
10/2/2015,Ohio,Carrollton,8400 block of Bay Road,1,0,N/A
9/2/2015,Illinois,Chicago,7400 block of South St. Lawrence Avenue,1,0,N/A
9/1/2015,Pennsylvania,Pittsburgh,1600 block of Sandusky Court,1,0,N/A
8/25/2015,Missouri,Saint Louis (Hanley Hills),7700 block of Utica Drive,1,0,N/A
8/23/2015,Virginia,Hardy,Heatherton Lane,1,0,N/A
8/18/2015,Alabama,Birmingham (Hoover),990 Wisteria Pl,1,0,N/A
8/16/2015,Georgia,Douglas,Cutter Road,1,0,N/A
8/5/2015,Alaska,Anchorage,4000 block of Olympic Terrace Circle,1,0,N/A
8/3/2015,Michigan,Detroit,16000 block of Eastwood Street,1,0,N/A
8/3/2015,Texas,Longview,2500 block of North Eastman Road,1,0,N/A
7/30/2015,Texas,Houston,8442 Tavenor Lane,1,0,N/A
7/29/2015,District of Columbia,Washington,600 block of 46th Place SE,1,0,N/A
7/23/2015,Michigan,Antrim (county),Tobias Road,1,0,N/A
7/17/2015,Louisiana,Shreveport,200 block of Prospect Street,1,0,N/A
7/15/2015,Missouri,Kansas City,3100 block of Spruce,1,0,N/A
7/5/2015,Texas,Spring,19000 block of Puget Lane,1,0,N/A
7/2/2015,Virginia,Hampton,300 block of West Chamberlin Avenue,1,0,N/A
6/28/2015,Michigan,Franklin,12919 Tipton Highway,1,0,N/A
6/27/2015,Montana,Saint Marie,308B Willow,1,0,N/A
6/13/2015,Texas,Wise (county),County Road 4010,1,0,N/A
6/11/2015,Ohio,Hamilton,709 Gordon Smith Boulevard,1,0,N/A
6/10/2015,California,Adelanto,1800 block of Bellflower Street,1,0,N/A
6/9/2015,Tennessee,Memphis,4300 block of Egyptian Cove,1,0,N/A
5/30/2015,Alaska,Ambler,N/A,1,0,N/A
5/30/2015,Texas,Abilene,500 block of Washington Street,1,0,N/A
5/25/2015,New York,Yonkers,484 Walnut St,1,0,N/A
5/25/2015,South Dakota,Brown (county),N/A,1,0,N/A
5/25/2015,Virginia,Meherrin,Doswell Town Road,1,0,N/A
5/23/2015,Mississippi,Jackson,Glencross Drive,1,0,N/A
5/16/2015,California,Perris,140 block of Metz Road,1,0,N/A
5/15/2015,Arkansas,Redfield,1107 Huck Finn Blvd,1,0,N/A
5/3/2015,Florida,Panama City,1914 Frankford Ave,1,0,N/A
5/3/2015,Louisiana,Shreveport,400 block of Pete Harris Drive,1,0,N/A
4/30/2015,Georgia,Macon,6381 Thomaston Road,1,0,N/A
4/29/2015,Georgia,Augusta,1200 block of Holden Drive,1,0,N/A
4/18/2015,Texas,Killeen,3600 block of Del Mar Court,1,0,N/A
4/12/2015,Ohio,Cleveland,3700 block of E. 63,1,0,N/A
3/31/2015,Tennessee,Madison,333 Rio Vista Drive,1,0,N/A
3/29/2015,Georgia,Jefferson,300 block of Fairfield Drive,1,0,N/A
3/19/2015,Texas,Houston,14425 Alief Clodine Rd,1,0,N/A
3/19/2015,Texas,Houston,6301 Sierra Blanca,1,0,N/A
3/17/2015,Oklahoma,Comanche,Highway 81,1,0,N/A
3/13/2015,Kentucky,Louisville,3400 block of Algonquin Parkway,1,0,N/A
3/13/2015,Michigan,Flint,1800 block of Barks Street,1,0,N/A
3/6/2015,Tennessee,Nashville,3024 Gwynwood Drive,1,0,N/A
3/5/2015,Oregon,Malin,9425 Matney Way,1,0,N/A
3/4/2015,Alaska,Shungnak,N/A,1,0,N/A
3/1/2015,Texas,Houston,1900 block of Imperial Stone Dr.,1,0,N/A
2/27/2015,Texas,Houston,7400 block of Betanna,1,0,N/A
2/15/2015,Alabama,Gaylesville,County Road 865,1,2,N/A
2/10/2015,Ohio,Dalton,South Mount Eaton Road,1,0,N/A
2/9/2015,Louisiana,Lake Charles,Arsene Road,1,0,N/A
1/21/2015,Michigan,Benton Harbor,1600 block of Norton St,1,0,N/A
1/21/2015,Florida,Tarpon Springs,1094 Misty Hollow Lane,1,0,N/A
1/19/2015,Mississippi,Columbus,Sobley Road,1,0,N/A
1/19/2015,Missouri,Elmo,100 block of South Scott Street,1,0,N/A
12/31/2014,Alabama,Montgomery,1700 block of Yarborough Street,1,0,N/A
12/30/2014,Idaho,Hayden,550 W Honeysuckle Ave,1,0,N/A
12/29/2014,Michigan,Detroit,11200 block of Roxbury St,1,0,N/A
12/29/2014,Michigan,Detroit,11200 block of Roxbury Street,1,0,N/A
12/29/2014,Florida,Tallahassee,800 block of Dover Street,1,0,N/A
12/15/2014,South Carolina,Simpsonville,Garfield Lane,1,0,N/A
12/6/2014,Oklahoma,Atoka,Wells St,1,0,N/A
12/5/2014,Illinois,Villa Park,N/A,1,0,N/A
11/28/2014,Texas,Childress,N/A,1,0,N/A
11/25/2014,Texas,Katy,4302 Falcon Meadow,1,0,N/A
11/24/2014,Oklahoma,Tulsa,100 block of South 168th East Avenue,1,0,N/A
11/20/2014,Indiana,Elkhart,2100 block of Morton Avenue,1,0,N/A
11/15/2014,Virginia,Norfolk,800 block of B Avenue,1,0,N/A
11/8/2014,Michigan,Detroit,16100 block of Northlawn Ave,1,0,N/A
11/2/2014,Ohio,Cincinnati,200 block of Kinsey Avenue,1,0,N/A
10/22/2014,Indiana,Kokomo,406 Fawn Drive,1,1,N/A
10/22/2014,Montana,Charlo,Eagle Trail Pass,1,0,N/A
10/17/2014,Tennessee,Buchanan,Mt Pleasant Freeland Rd,1,0,N/A
10/11/2014,Louisiana,Benton,200 block of Retha Lane,1,0,N/A
9/25/2014,Pennsylvania,Saltsburg,Elders Ridge Rd,1,0,N/A
9/13/2014,South Carolina,Denmark,East Mill Street,1,0,N/A
9/5/2014,Virginia,Richmond,1500 block of Mechanicsville Turnpike,1,0,N/A
8/25/2014,Arizona,Willow Beach (White Hills),20606 US 93,1,0,N/A
8/22/2014,Illinois,Chicago,4300 block of West Monroe Street,1,0,N/A
8/17/2014,Tennessee,Clarksville,2600 block of Arthurs Court,1,0,N/A
8/10/2014,Tennessee,Sparta,8504 Old Kentucky Rd,1,0,N/A
8/6/2014,Oklahoma,Hobart,200 block of Monroe,1,0,N/A
7/30/2014,Idaho,Chubbuck,600 block of Canal Street,1,0,N/A
7/29/2014,Kansas,Wichita,500 block of East Lincoln,1,0,N/A
7/25/2014,South Carolina,Pelzer,Hindman Street,1,0,N/A
7/2/2014,Alabama,Birmingham (Midfield),N/A,1,0,N/A
7/2/2014,Arizona,Tonopah,S 363rd Ave and W Durango St,1,0,N/A
6/17/2014,Ohio,Frazeysburg,43 1st St ,1,0,N/A
6/1/2014,Missouri,Joplin,11319 Hwy FF  (32nd St),1,0,N/A
5/27/2014,Arizona,Payson,303 S. Ash Street,1,0,N/A
5/24/2014,Vermont,Cabot,Vermont 215,1,0,N/A
5/5/2014,Georgia,Johnson Corner,N/A,1,0,N/A
5/3/2014,Pennsylvania,Dingmans Ferry,123 Keystone Dr,1,0,N/A
4/29/2014,Kansas,Wichita,1300 block of North Pennsylvania Avenue,1,0,N/A
4/28/2014,North Carolina,Durham,Macon Street and Washington ,1,0,N/A
4/25/2014,North Carolina,Fayetteville,2101 Hyde Place,1,0,N/A
4/21/2014,Iowa,Des Moines,2746 Fleur Dr.,1,0,N/A
4/17/2014,South Carolina,Easley,Hasting Road ,1,0,N/A
4/13/2014,North Carolina,Charlotte,700 Glasgow Road,1,0,N/A
4/12/2014,South Carolina,Gaston,Wild Bird Lane,1,1,N/A
4/5/2014,Pennsylvania,Philadelphia,3800 Wallace Street,1,0,N/A
4/4/2014,Georgia,Savannah,1400 Church Street ,1,0,N/A
4/4/2014,Georgia,Waycross, 4900 Jana Lane,1,0,N/A
4/3/2014,Oklahoma,Bokoshe,Buck Creek Road,1,0,N/A
3/11/2014,Oklahoma,Broken Arrow,3500 block of East Aurora,1,0,N/A
3/11/2014,Indiana,Greensburg,1000 block of North Carver Street,1,0,N/A
3/10/2014,Texas,Corsicana,County Rd 3144,1,0,N/A
3/5/2014,Alabama,Mobile,2600 block of Wealthy Street ,1,0,N/A
3/5/2014,California,Nuevo, 31000 block of Wolfskill Avenue,1,0,N/A
3/1/2014,Florida,Pensacola,1500 block of Fairfield Dr,1,0,N/A
3/1/2014,Ohio,Cincinnati,3600 block of Lasalle Av,1,0,N/A
2/17/2014,Arkansas,El Dorado,Shuler Road,1,0,N/A
2/13/2014,Florida,Lake Worth,1200 block of North O Street,1,0,N/A
2/7/2014,Massachusetts,Boston,617 Morton St.,1,0,N/A
1/29/2014,North Carolina,Snow Hill,15 Letchworth Drive,1,0,N/A
1/12/2014,Ohio,Cincinnati,800 Delhi Av,1,0,N/A
1/11/2014,Arkansas,Bono,1187 Greene Rd 336,1,0,N/A
1/1/2014,Mississippi,Bogue Chitto,1347 Brumfield Rd SW,1,0,N/A
