"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Arkansas"	"05"	"2016"	"2016"	408	506209	80.6
	"California"	"06"	"1999"	"1999"	4014	6782211	59.2
	"California"	"06"	"2000"	"2000"	4091	6794523	60.2
	"California"	"06"	"2001"	"2001"	3957	6810393	58.1
	"California"	"06"	"2002"	"2002"	4012	6786767	59.1
	"California"	"06"	"2003"	"2003"	3980	6748718	59.0
	"California"	"06"	"2004"	"2004"	3871	6694291	57.8
	"California"	"06"	"2005"	"2005"	3982	6628125	60.1
	"California"	"06"	"2006"	"2006"	3871	6571250	58.9
	"California"	"06"	"2007"	"2007"	3907	6534214	59.8
	"California"	"06"	"2008"	"2008"	3728	6540220	57.0
	"California"	"06"	"2009"	"2009"	3549	6542583	54.2
	"California"	"06"	"2010"	"2010"	3258	6569785	49.6
	"California"	"06"	"2011"	"2011"	3208	6591133	48.7
	"California"	"06"	"2012"	"2012"	3021	6601785	45.8
	"California"	"06"	"2013"	"2013"	3130	6572982	47.6
	"California"	"06"	"2014"	"2014"	2888	6571049	44.0
	"California"	"06"	"2015"	"2015"	2866	6566141	43.6
	"California"	"06"	"2016"	"2016"	2866	6552547	43.7
	"Colorado"	"08"	"1999"	"1999"	568	780447	72.8
	"Colorado"	"08"	"2000"	"2000"	551	793579	69.4
	"Colorado"	"08"	"2001"	"2001"	540	811074	66.6
	"Colorado"	"08"	"2002"	"2002"	566	817984	69.2
	"Colorado"	"08"	"2003"	"2003"	569	819852	69.4
	"Colorado"	"08"	"2004"	"2004"	556	820155	67.8
	"Colorado"	"08"	"2005"	"2005"	599	827029	72.4
	"Colorado"	"08"	"2006"	"2006"	552	839851	65.7
	"Colorado"	"08"	"2007"	"2007"	566	855891	66.1
	"Colorado"	"08"	"2008"	"2008"	579	870774	66.5
	"Colorado"	"08"	"2009"	"2009"	557	884656	63.0
	"Colorado"	"08"	"2010"	"2010"	530	894187	59.3
	"Colorado"	"08"	"2011"	"2011"	484	899461	53.8
	"Colorado"	"08"	"2012"	"2012"	419	899853	46.6
	"Colorado"	"08"	"2013"	"2013"	471	900974	52.3
	"Colorado"	"08"	"2014"	"2014"	437	902710	48.4
	"Colorado"	"08"	"2015"	"2015"	419	907835	46.2
	"Colorado"	"08"	"2016"	"2016"	441	908446	48.5
	"Connecticut"	"09"	"1999"	"1999"	357	612995	58.2
	"Connecticut"	"09"	"2000"	"2000"	370	615892	60.1
	"Connecticut"	"09"	"2001"	"2001"	340	613064	55.5
	"Connecticut"	"09"	"2002"	"2002"	348	609115	57.1
	"Connecticut"	"09"	"2003"	"2003"	309	603492	51.2
	"Connecticut"	"09"	"2004"	"2004"	305	596895	51.1
	"Connecticut"	"09"	"2005"	"2005"	316	588908	53.7
	"Connecticut"	"09"	"2006"	"2006"	303	582604	52.0
	"Connecticut"	"09"	"2007"	"2007"	338	577232	58.6
	"Connecticut"	"09"	"2008"	"2008"	299	573490	52.1
	"Connecticut"	"09"	"2009"	"2009"	272	569603	47.8
	"Connecticut"	"09"	"2010"	"2010"	252	567195	44.4
	"Connecticut"	"09"	"2011"	"2011"	266	557623	47.7
	"Connecticut"	"09"	"2012"	"2012"	268	550136	48.7
	"Connecticut"	"09"	"2013"	"2013"	215	543357	39.6
	"Connecticut"	"09"	"2014"	"2014"	221	534884	41.3
	"Connecticut"	"09"	"2015"	"2015"	235	527242	44.6
	"Connecticut"	"09"	"2016"	"2016"	218	519470	42.0
	"Delaware"	"10"	"1999"	"1999"	108	139579	77.4
	"Delaware"	"10"	"2000"	"2000"	137	141037	97.1
	"Delaware"	"10"	"2001"	"2001"	143	141161	101.3
	"Delaware"	"10"	"2002"	"2002"	130	141117	92.1
	"Delaware"	"10"	"2003"	"2003"	125	140785	88.8
	"Delaware"	"10"	"2004"	"2004"	137	141041	97.1
	"Delaware"	"10"	"2005"	"2005"	129	141873	90.9
	"Delaware"	"10"	"2006"	"2006"	115	142667	80.6
	"Delaware"	"10"	"2007"	"2007"	102	143912	70.9
	"Delaware"	"10"	"2008"	"2008"	119	145375	81.9
	"Delaware"	"10"	"2009"	"2009"	114	146088	78.0
	"Delaware"	"10"	"2010"	"2010"	102	146659	69.5
	"Delaware"	"10"	"2011"	"2011"	122	146626	83.2
	"Delaware"	"10"	"2012"	"2012"	108	147522	73.2
	"Delaware"	"10"	"2013"	"2013"	91	147096	61.9
	"Delaware"	"10"	"2014"	"2014"	91	146835	62.0
	"Delaware"	"10"	"2015"	"2015"	119	146721	81.1
	"Delaware"	"10"	"2016"	"2016"	105	146161	71.8
	"District of Columbia"	"11"	"1999"	"1999"	136	87066	156.2
	"District of Columbia"	"11"	"2000"	"2000"	117	86779	134.8
	"District of Columbia"	"11"	"2001"	"2001"	106	86368	122.7
	"District of Columbia"	"11"	"2002"	"2002"	100	85353	117.2
	"District of Columbia"	"11"	"2003"	"2003"	100	82037	121.9
	"District of Columbia"	"11"	"2004"	"2004"	116	79564	145.8
	"District of Columbia"	"11"	"2005"	"2005"	130	76918	169.0
	"District of Columbia"	"11"	"2006"	"2006"	116	74887	154.9
	"District of Columbia"	"11"	"2007"	"2007"	138	73466	187.8
	"District of Columbia"	"11"	"2008"	"2008"	134	73245	182.9
	"District of Columbia"	"11"	"2009"	"2009"	106	73948	143.3
	"District of Columbia"	"11"	"2010"	"2010"	83	73614	112.8
	"District of Columbia"	"11"	"2011"	"2011"	79	78779	100.3
	"District of Columbia"	"11"	"2012"	"2012"	88	83159	105.8
	"District of Columbia"	"11"	"2013"	"2013"	79	86101	91.8
	"District of Columbia"	"11"	"2014"	"2014"	84	89506	93.8
	"District of Columbia"	"11"	"2015"	"2015"	103	92375	111.5
	"District of Columbia"	"11"	"2016"	"2016"	86	95157	90.4
	"Florida"	"12"	"1999"	"1999"	2084	2603618	80.0
	"Florida"	"12"	"2000"	"2000"	1994	2620799	76.1
	"Florida"	"12"	"2001"	"2001"	2062	2654368	77.7
	"Florida"	"12"	"2002"	"2002"	2099	2680605	78.3
	"Florida"	"12"	"2003"	"2003"	2151	2692755	79.9
	"Florida"	"12"	"2004"	"2004"	2099	2727719	77.0
	"Florida"	"12"	"2005"	"2005"	2190	2774573	78.9
	"Florida"	"12"	"2006"	"2006"	2315	2810089	82.4
	"Florida"	"12"	"2007"	"2007"	2233	2819635	79.2
	"Florida"	"12"	"2008"	"2008"	2184	2824404	77.3
	"Florida"	"12"	"2009"	"2009"	2020	2819585	71.6
	"Florida"	"12"	"2010"	"2010"	1893	2829250	66.9
	"Florida"	"12"	"2011"	"2011"	1857	2831892	65.6
	"Florida"	"12"	"2012"	"2012"	1735	2842753	61.0
	"Florida"	"12"	"2013"	"2013"	1799	2859902	62.9
	"Florida"	"12"	"2014"	"2014"	1804	2878578	62.7
	"Florida"	"12"	"2015"	"2015"	1876	2918776	64.3
	"Florida"	"12"	"2016"	"2016"	1850	2962026	62.5
	"Georgia"	"13"	"1999"	"1999"	1422	1552055	91.6
	"Georgia"	"13"	"2000"	"2000"	1483	1582449	93.7
	"Georgia"	"13"	"2001"	"2001"	1548	1612639	96.0
	"Georgia"	"13"	"2002"	"2002"	1526	1631619	93.5
	"Georgia"	"13"	"2003"	"2003"	1490	1642451	90.7
	"Georgia"	"13"	"2004"	"2004"	1526	1657460	92.1
	"Georgia"	"13"	"2005"	"2005"	1506	1685145	89.4
	"Georgia"	"13"	"2006"	"2006"	1561	1720760	90.7
	"Georgia"	"13"	"2007"	"2007"	1559	1761026	88.5
	"Georgia"	"13"	"2008"	"2008"	1503	1784814	84.2
	"Georgia"	"13"	"2009"	"2009"	1397	1793337	77.9
	"Georgia"	"13"	"2010"	"2010"	1205	1800092	66.9
	"Georgia"	"13"	"2011"	"2011"	1213	1802852	67.3
	"Georgia"	"13"	"2012"	"2012"	1094	1801501	60.7
	"Georgia"	"13"	"2013"	"2013"	1219	1793248	68.0
	"Georgia"	"13"	"2014"	"2014"	1281	1788359	71.6
	"Georgia"	"13"	"2015"	"2015"	1347	1790808	75.2
	"Georgia"	"13"	"2016"	"2016"	1284	1791540	71.7
	"Hawaii"	"15"	"1999"	"1999"	146	216517	67.4
	"Hawaii"	"15"	"2000"	"2000"	173	213715	80.9
	"Hawaii"	"15"	"2001"	"2001"	135	212127	63.6
	"Hawaii"	"15"	"2002"	"2002"	160	211600	75.6
	"Hawaii"	"15"	"2003"	"2003"	171	210539	81.2
	"Hawaii"	"15"	"2004"	"2004"	139	211778	65.6
	"Hawaii"	"15"	"2005"	"2005"	149	211351	70.5
	"Hawaii"	"15"	"2006"	"2006"	148	211631	69.9
	"Hawaii"	"15"	"2007"	"2007"	158	212167	74.5
	"Hawaii"	"15"	"2008"	"2008"	139	214476	64.8
	"Hawaii"	"15"	"2009"	"2009"	149	217483	68.5
	"Hawaii"	"15"	"2010"	"2010"	142	219502	64.7
	"Hawaii"	"15"	"2011"	"2011"	134	221982	60.4
	"Hawaii"	"15"	"2012"	"2012"	118	222270	53.1
	"Hawaii"	"15"	"2013"	"2013"	162	226351	71.6
	"Hawaii"	"15"	"2014"	"2014"	109	227676	47.9
	"Hawaii"	"15"	"2015"	"2015"	136	230244	59.1
	"Hawaii"	"15"	"2016"	"2016"	143	228461	62.6
	"Idaho"	"16"	"1999"	"1999"	207	257634	80.3
	"Idaho"	"16"	"2000"	"2000"	204	261027	78.2
	"Idaho"	"16"	"2001"	"2001"	191	264818	72.1
	"Idaho"	"16"	"2002"	"2002"	183	267634	68.4
	"Idaho"	"16"	"2003"	"2003"	202	270104	74.8
	"Idaho"	"16"	"2004"	"2004"	203	274314	74.0
	"Idaho"	"16"	"2005"	"2005"	197	282079	69.8
	"Idaho"	"16"	"2006"	"2006"	236	290658	81.2
	"Idaho"	"16"	"2007"	"2007"	225	299961	75.0
	"Idaho"	"16"	"2008"	"2008"	197	307394	64.1
	"Idaho"	"16"	"2009"	"2009"	175	311268	56.2
	"Idaho"	"16"	"2010"	"2010"	168	313731	53.5
	"Idaho"	"16"	"2011"	"2011"	162	312736	51.8
	"Idaho"	"16"	"2012"	"2012"	159	310505	51.2
	"Idaho"	"16"	"2013"	"2013"	174	309351	56.2
	"Idaho"	"16"	"2014"	"2014"	177	310912	56.9
	"Idaho"	"16"	"2015"	"2015"	138	310929	44.4
	"Idaho"	"16"	"2016"	"2016"	196	313769	62.5
	"Illinois"	"17"	"1999"	"1999"	2032	2351534	86.4
	"Illinois"	"17"	"2000"	"2000"	2000	2358110	84.8
	"Illinois"	"17"	"2001"	"2001"	1867	2349644	79.5
	"Illinois"	"17"	"2002"	"2002"	1757	2334468	75.3
	"Illinois"	"17"	"2003"	"2003"	1814	2310718	78.5
	"Illinois"	"17"	"2004"	"2004"	1755	2288253	76.7
	"Illinois"	"17"	"2005"	"2005"	1674	2266020	73.9
	"Illinois"	"17"	"2006"	"2006"	1650	2247207	73.4
	"Illinois"	"17"	"2007"	"2007"	1581	2237416	70.7
	"Illinois"	"17"	"2008"	"2008"	1589	2227809	71.3
	"Illinois"	"17"	"2009"	"2009"	1531	2220842	68.9
	"Illinois"	"17"	"2010"	"2010"	1463	2219602	65.9
	"Illinois"	"17"	"2011"	"2011"	1367	2203949	62.0
	"Illinois"	"17"	"2012"	"2012"	1338	2183240	61.3
	"Illinois"	"17"	"2013"	"2013"	1241	2152620	57.7
	"Illinois"	"17"	"2014"	"2014"	1309	2125176	61.6
	"Illinois"	"17"	"2015"	"2015"	1234	2104385	58.6
	"Illinois"	"17"	"2016"	"2016"	1235	2078679	59.4
	"Indiana"	"18"	"1999"	"1999"	973	1125006	86.5
	"Indiana"	"18"	"2000"	"2000"	946	1134867	83.4
	"Indiana"	"18"	"2001"	"2001"	882	1137798	77.5
	"Indiana"	"18"	"2002"	"2002"	893	1135257	78.7
	"Indiana"	"18"	"2003"	"2003"	873	1131336	77.2
	"Indiana"	"18"	"2004"	"2004"	938	1130419	83.0
	"Indiana"	"18"	"2005"	"2005"	951	1132270	84.0
	"Indiana"	"18"	"2006"	"2006"	957	1137839	84.1
	"Indiana"	"18"	"2007"	"2007"	895	1143360	78.3
	"Indiana"	"18"	"2008"	"2008"	842	1149346	73.3
	"Indiana"	"18"	"2009"	"2009"	899	1149555	78.2
	"Indiana"	"18"	"2010"	"2010"	816	1151183	70.9
	"Indiana"	"18"	"2011"	"2011"	851	1144418	74.4
	"Indiana"	"18"	"2012"	"2012"	756	1139786	66.3
	"Indiana"	"18"	"2013"	"2013"	797	1132093	70.4
	"Indiana"	"18"	"2014"	"2014"	766	1126510	68.0
	"Indiana"	"18"	"2015"	"2015"	794	1124643	70.6
	"Indiana"	"18"	"2016"	"2016"	814	1123197	72.5
	"Iowa"	"19"	"1999"	"1999"	323	513981	62.8
	"Iowa"	"19"	"2000"	"2000"	354	516879	68.5
	"Iowa"	"19"	"2001"	"2001"	316	513963	61.5
	"Iowa"	"19"	"2002"	"2002"	297	509893	58.2
	"Iowa"	"19"	"2003"	"2003"	314	506911	61.9
	"Iowa"	"19"	"2004"	"2004"	279	505288	55.2
	"Iowa"	"19"	"2005"	"2005"	294	504823	58.2
	"Iowa"	"19"	"2006"	"2006"	280	507591	55.2
	"Iowa"	"19"	"2007"	"2007"	307	511364	60.0
	"Iowa"	"19"	"2008"	"2008"	320	516447	62.0
	"Iowa"	"19"	"2009"	"2009"	265	520690	50.9
	"Iowa"	"19"	"2010"	"2010"	249	523701	47.5
	"Iowa"	"19"	"2011"	"2011"	263	521358	50.4
	"Iowa"	"19"	"2012"	"2012"	285	520684	54.7
	"Iowa"	"19"	"2013"	"2013"	235	520526	45.1
	"Iowa"	"19"	"2014"	"2014"	271	521526	52.0
	"Iowa"	"19"	"2015"	"2015"	251	524488	47.9
	"Iowa"	"19"	"2016"	"2016"	322	526581	61.1
	"Kansas"	"20"	"1999"	"1999"	392	505079	77.6
	"Kansas"	"20"	"2000"	"2000"	384	506115	75.9
	"Kansas"	"20"	"2001"	"2001"	394	504090	78.2
	"Kansas"	"20"	"2002"	"2002"	395	502772	78.6
	"Kansas"	"20"	"2003"	"2003"	370	500994	73.9
	"Kansas"	"20"	"2004"	"2004"	394	500261	78.8
	"Kansas"	"20"	"2005"	"2005"	402	500137	80.4
	"Kansas"	"20"	"2006"	"2006"	380	501652	75.7
	"Kansas"	"20"	"2007"	"2007"	419	508636	82.4
	"Kansas"	"20"	"2008"	"2008"	403	515054	78.2
	"Kansas"	"20"	"2009"	"2009"	385	522119	73.7
	"Kansas"	"20"	"2010"	"2010"	362	528448	68.5
	"Kansas"	"20"	"2011"	"2011"	340	526668	64.6
	"Kansas"	"20"	"2012"	"2012"	337	527326	63.9
	"Kansas"	"20"	"2013"	"2013"	356	525080	67.8
	"Kansas"	"20"	"2014"	"2014"	320	523364	61.1
	"Kansas"	"20"	"2015"	"2015"	318	520451	61.1
	"Kansas"	"20"	"2016"	"2016"	310	516388	60.0
	"Kentucky"	"21"	"1999"	"1999"	559	711825	78.5
	"Kentucky"	"21"	"2000"	"2000"	545	713530	76.4
	"Kentucky"	"21"	"2001"	"2001"	508	713880	71.2
	"Kentucky"	"21"	"2002"	"2002"	534	713461	74.8
	"Kentucky"	"21"	"2003"	"2003"	538	713643	75.4
	"Kentucky"	"21"	"2004"	"2004"	529	711921	74.3
	"Kentucky"	"21"	"2005"	"2005"	537	713807	75.2
	"Kentucky"	"21"	"2006"	"2006"	580	718209	80.8
	"Kentucky"	"21"	"2007"	"2007"	536	723472	74.1
	"Kentucky"	"21"	"2008"	"2008"	540	730258	73.9
	"Kentucky"	"21"	"2009"	"2009"	544	733395	74.2
	"Kentucky"	"21"	"2010"	"2010"	526	737103	71.4
	"Kentucky"	"21"	"2011"	"2011"	490	736185	66.6
	"Kentucky"	"21"	"2012"	"2012"	537	734901	73.1
	"Kentucky"	"21"	"2013"	"2013"	471	728656	64.6
	"Kentucky"	"21"	"2014"	"2014"	522	726436	71.9
	"Kentucky"	"21"	"2015"	"2015"	512	726212	70.5
	"Kentucky"	"21"	"2016"	"2016"	505	725194	69.6
	"Louisiana"	"22"	"1999"	"1999"	863	862934	100.0
	"Louisiana"	"22"	"2000"	"2000"	868	861137	100.8
	"Louisiana"	"22"	"2001"	"2001"	905	851144	106.3
	"Louisiana"	"22"	"2002"	"2002"	937	844594	110.9
	"Louisiana"	"22"	"2003"	"2003"	821	839642	97.8
	"Louisiana"	"22"	"2004"	"2004"	928	835953	111.0
	"Louisiana"	"22"	"2005"	"2005"	867	832653	104.1
	"Louisiana"	"22"	"2006"	"2006"	817	756889	107.9
	"Louisiana"	"22"	"2007"	"2007"	803	774696	103.7
	"Louisiana"	"22"	"2008"	"2008"	807	789920	102.2
	"Louisiana"	"22"	"2009"	"2009"	766	799723	95.8
	"Louisiana"	"22"	"2010"	"2010"	640	806618	79.3
	"Louisiana"	"22"	"2011"	"2011"	695	811397	85.7
	"Louisiana"	"22"	"2012"	"2012"	705	812128	86.8
	"Louisiana"	"22"	"2013"	"2013"	716	805392	88.9
	"Louisiana"	"22"	"2014"	"2014"	682	804464	84.8
	"Louisiana"	"22"	"2015"	"2015"	701	806204	87.0
	"Louisiana"	"22"	"2016"	"2016"	694	805945	86.1
	"Maine"	"23"	"1999"	"1999"	95	210151	45.2
	"Maine"	"23"	"2000"	"2000"	105	208942	50.3
	"Maine"	"23"	"2001"	"2001"	109	206524	52.8
	"Maine"	"23"	"2002"	"2002"	96	204302	47.0
	"Maine"	"23"	"2003"	"2003"	102	201833	50.5
	"Maine"	"23"	"2004"	"2004"	118	199944	59.0
	"Maine"	"23"	"2005"	"2005"	126	197741	63.7
	"Maine"	"23"	"2006"	"2006"	115	195877	58.7
	"Maine"	"23"	"2007"	"2007"	120	195094	61.5
	"Maine"	"23"	"2008"	"2008"	105	193896	54.2
	"Maine"	"23"	"2009"	"2009"	104	192004	54.2
	"Maine"	"23"	"2010"	"2010"	93	190599	48.8
	"Maine"	"23"	"2011"	"2011"	103	187349	55.0
	"Maine"	"23"	"2012"	"2012"	111	185495	59.8
	"Maine"	"23"	"2013"	"2013"	121	181782	66.6
	"Maine"	"23"	"2014"	"2014"	103	180097	57.2
	"Maine"	"23"	"2015"	"2015"	105	178757	58.7
	"Maine"	"23"	"2016"	"2016"	95	178263	53.3
	"Maryland"	"24"	"1999"	"1999"	780	983450	79.3
	"Maryland"	"24"	"2000"	"2000"	732	985358	74.3
	"Maryland"	"24"	"2001"	"2001"	795	985125	80.7
	"Maryland"	"24"	"2002"	"2002"	733	983239	74.5
	"Maryland"	"24"	"2003"	"2003"	787	976542	80.6
	"Maryland"	"24"	"2004"	"2004"	825	971049	85.0
	"Maryland"	"24"	"2005"	"2005"	684	964759	70.9
	"Maryland"	"24"	"2006"	"2006"	771	958425	80.4
	"Maryland"	"24"	"2007"	"2007"	811	954587	85.0
	"Maryland"	"24"	"2008"	"2008"	787	951478	82.7
	"Maryland"	"24"	"2009"	"2009"	687	953111	72.1
	"Maryland"	"24"	"2010"	"2010"	619	957337	64.7
	"Maryland"	"24"	"2011"	"2011"	621	959449	64.7
	"Maryland"	"24"	"2012"	"2012"	609	960058	63.4
	"Maryland"	"24"	"2013"	"2013"	615	962685	63.9
	"Maryland"	"24"	"2014"	"2014"	619	967716	64.0
	"Maryland"	"24"	"2015"	"2015"	652	967333	67.4
	"Maryland"	"24"	"2016"	"2016"	607	968766	62.7
	"Massachusetts"	"25"	"1999"	"1999"	551	1093095	50.4
	"Massachusetts"	"25"	"2000"	"2000"	531	1092041	48.6
	"Massachusetts"	"25"	"2001"	"2001"	545	1085860	50.2
	"Massachusetts"	"25"	"2002"	"2002"	540	1074019	50.3
	"Massachusetts"	"25"	"2003"	"2003"	510	1055402	48.3
	"Massachusetts"	"25"	"2004"	"2004"	490	1035931	47.3
	"Massachusetts"	"25"	"2005"	"2005"	491	1018771	48.2
	"Massachusetts"	"25"	"2006"	"2006"	472	1005384	46.9
	"Massachusetts"	"25"	"2007"	"2007"	493	998016	49.4
	"Massachusetts"	"25"	"2008"	"2008"	492	994826	49.5
	"Massachusetts"	"25"	"2009"	"2009"	475	993950	47.8
	"Massachusetts"	"25"	"2010"	"2010"	419	993491	42.2
	"Massachusetts"	"25"	"2011"	"2011"	410	986915	41.5
	"Massachusetts"	"25"	"2012"	"2012"	395	985734	40.1
	"Massachusetts"	"25"	"2013"	"2013"	395	981841	40.2
	"Massachusetts"	"25"	"2014"	"2014"	427	978107	43.7
	"Massachusetts"	"25"	"2015"	"2015"	409	976061	41.9
	"Massachusetts"	"25"	"2016"	"2016"	373	967868	38.5
	"Michigan"	"26"	"1999"	"1999"	1479	1869472	79.1
	"Michigan"	"26"	"2000"	"2000"	1499	1871773	80.1
	"Michigan"	"26"	"2001"	"2001"	1430	1860125	76.9
	"Michigan"	"26"	"2002"	"2002"	1412	1842942	76.6
	"Michigan"	"26"	"2003"	"2003"	1469	1814196	81.0
	"Michigan"	"26"	"2004"	"2004"	1290	1788186	72.1
	"Michigan"	"26"	"2005"	"2005"	1365	1760597	77.5
	"Michigan"	"26"	"2006"	"2006"	1221	1734440	70.4
	"Michigan"	"26"	"2007"	"2007"	1263	1707613	74.0
	"Michigan"	"26"	"2008"	"2008"	1144	1676310	68.2
	"Michigan"	"26"	"2009"	"2009"	1151	1650684	69.7
	"Michigan"	"26"	"2010"	"2010"	1055	1636202	64.5
	"Michigan"	"26"	"2011"	"2011"	972	1606309	60.5
	"Michigan"	"26"	"2012"	"2012"	1048	1587477	66.0
	"Michigan"	"26"	"2013"	"2013"	1019	1571268	64.9
	"Michigan"	"26"	"2014"	"2014"	959	1554162	61.7
	"Michigan"	"26"	"2015"	"2015"	996	1545853	64.4
	"Michigan"	"26"	"2016"	"2016"	993	1539354	64.5
	"Minnesota"	"27"	"1999"	"1999"	588	907246	64.8
	"Minnesota"	"27"	"2000"	"2000"	530	910386	58.2
	"Minnesota"	"27"	"2001"	"2001"	503	911081	55.2
	"Minnesota"	"27"	"2002"	"2002"	544	906164	60.0
	"Minnesota"	"27"	"2003"	"2003"	459	900156	51.0
	"Minnesota"	"27"	"2004"	"2004"	465	898971	51.7
	"Minnesota"	"27"	"2005"	"2005"	466	897965	51.9
	"Minnesota"	"27"	"2006"	"2006"	508	901681	56.3
	"Minnesota"	"27"	"2007"	"2007"	534	908151	58.8
	"Minnesota"	"27"	"2008"	"2008"	577	913799	63.1
	"Minnesota"	"27"	"2009"	"2009"	450	918473	49.0
	"Minnesota"	"27"	"2010"	"2010"	453	922119	49.1
	"Minnesota"	"27"	"2011"	"2011"	443	920563	48.1
	"Minnesota"	"27"	"2012"	"2012"	460	921391	49.9
	"Minnesota"	"27"	"2013"	"2013"	460	923797	49.8
	"Minnesota"	"27"	"2014"	"2014"	472	924771	51.0
	"Minnesota"	"27"	"2015"	"2015"	483	928014	52.0
	"Minnesota"	"27"	"2016"	"2016"	484	931035	52.0
	"Mississippi"	"28"	"1999"	"1999"	624	550096	113.4
	"Mississippi"	"28"	"2000"	"2000"	652	553159	117.9
	"Mississippi"	"28"	"2001"	"2001"	625	549658	113.7
	"Mississippi"	"28"	"2002"	"2002"	601	545122	110.3
	"Mississippi"	"28"	"2003"	"2003"	616	540284	114.0
	"Mississippi"	"28"	"2004"	"2004"	573	540331	106.0
