Date,State,City_County,Address,Killed,Injured,Operations
4/8/2017,Pennsylvania,Macungie,3900 block of Orchard Drive,1,0,N/A
4/4/2017,Kansas,Wichita,9700 block of Westlawn,1,0,N/A
3/27/2017,Florida,Orlando,Kitty Hawk Ave,1,0,N/A
3/23/2017,Texas,Killeen,800 block of Green Ave,1,0,N/A
3/22/2017,Texas,Houston,4002 Corder St,2,0,N/A
3/22/2017,Texas,El Paso,400 Block of Hardy Circle,1,0,N/A
3/20/2017,Michigan,Grand Rapids,800 Block of Kalamazoo Ave SE,1,0,N/A
3/18/2017,Michigan,Pontiac,100 block of Wall St,1,0,N/A
3/14/2017,Missouri,Saint Louis,3300 block of Michigan Ave,1,0,N/A
3/13/2017,Louisiana,Baton Rouge,4747 Southpark Drive,1,0,N/A
3/10/2017,Texas,Spring,21300 block of Greenham Dr.,1,0,N/A
3/10/2017,Washington,Seattle,10200 block of 23rd Court Southwest,1,0,N/A
3/6/2017,Kentucky,Dry Ridge,Kelly Drive,1,0,N/A
3/4/2017,Missouri,Otterville,6249 Kaiser Rd,1,0,N/A
2/26/2017,Tennessee,Clifton,2373 Culps Bend Road,1,0,N/A
2/25/2017,Georgia,Grovetown,Coventry Avenue,1,0,N/A
2/23/2017,Louisiana,Lake Charles,1700 block of Rena St,1,0,N/A
2/23/2017,California,Patterson,100 block of Washburn Street,1,0,N/A
2/18/2017,Michigan,Holton,192nd Ave and Cleveland Rd,1,0,N/A
2/18/2017,Arkansas,Texarkana,E. 50th Street,1,0,N/A
2/14/2017,Indiana,Indianapolis,3600 block of Glen Arm Rd,1,0,N/A
2/11/2017,Wisconsin,Kenosha,3600 block of 48th St.,1,0,N/A
2/2/2017,Idaho,Peck,22400 block of Big Canyon Road,1,0,N/A
1/31/2017,Nebraska,Omaha,14122 Manderson Plaza,1,0,N/A
1/30/2017,Arkansas,Earle,Lincoln Ave,1,0,N/A
1/26/2017,South Carolina,Sumter,Somerset Drive,1,0,N/A
1/22/2017,South Carolina,Elgin,200 block of Cherrywood Dr,1,0,N/A
1/15/2017,Indiana,Greenwood,2000 block of Jaden Lane,1,0,N/A
1/13/2017,Ohio,Toledo,1500 block of East Broadway St,1,0,N/A
1/5/2017,Virginia,Bluefield,201 Neel St,1,0,N/A
12/31/2016,Texas,Houston,4235 Oak Shadows,1,0,N/A
12/31/2016,Oregon,Grants Pass,Robertson Bridge Rd,1,0,N/A
12/31/2016,Pennsylvania,Greencastle,400 block of West Baltimore Street,1,0,N/A
12/29/2016,Mississippi,Macon (Prairie Point),Buggs Ferry Road,1,0,N/A
12/28/2016,Georgia,Valdosta,1000 block of Cherry Creek Drive,1,0,N/A
12/28/2016,Maine,Sanford,Brunell Avenue,1,0,N/A
12/27/2016,Indiana,Elkhart,25908 San Lu Rae Drive,1,0,N/A
12/25/2016,Tennessee,Henderson (county),6000 block of Middleburg Road,1,0,N/A
12/23/2016,Indiana,Elkhart,29508 San Lu Rae Drive,1,0,N/A
12/22/2016,Alabama,Geneva (county),County Road 41,1,0,N/A
12/21/2016,Michigan,Detroit,791 Tennessee Street,1,0,N/A
12/19/2016,Arkansas,Miller (county),11000 block of Highway 71,1,0,N/A
12/17/2016,Mississippi,Meridian,188 Mt. Horeb Rd,1,0,N/A
12/17/2016,Kansas,Wichita,1300th block of North Erie,1,0,N/A
12/12/2016,Michigan,Detroit,4300 block of Tireman,1,0,N/A
12/6/2016,Georgia,Mableton,6660 Mableton Pkwy SE,1,0,N/A
12/2/2016,Virginia,Charlotte (county),Mt. Carmel Road,1,0,N/A
11/28/2016,Florida,Winter Haven,2520 US Hwy 92 West,1,0,N/A
11/28/2016,Texas,Del Rio,406 W Martinez St,2,0,N/A
11/27/2016,Pennsylvania,Republic,218 Republic Rd,1,0,N/A
11/26/2016,Tennessee,Niota,County Road 278,1,0,N/A
11/22/2016,Indiana,Anderson,1600 block of West 7th Street,1,0,N/A
11/22/2016,Virginia,Christiansburg,700 block of Dabney Road,1,0,N/A
11/12/2016,Colorado,La Salle,18000 block of County Road 43,1,0,N/A
11/11/2016,Oklahoma,Fort Towson,N/A,1,0,N/A
11/8/2016,Virginia,Hampton,500 block of Pennsylvania Ave,1,0,N/A
11/7/2016,Pennsylvania,New Kensington (Arnold),1417 Orchard Ave,1,0,N/A
11/6/2016,Georgia,Atlanta,1800 block of Charleston Avenue,1,0,N/A
10/30/2016,Pennsylvania,Norristown,600 block of George Street,1,0,N/A
10/22/2016,Louisiana,Larose,East Avenue C,1,0,N/A
10/16/2016,Washington,Yacolt,34900 block of NE Thompson Road,1,0,N/A
10/16/2016,North Dakota,Bismarck,106th St SE,1,0,N/A
10/11/2016,Georgia,Acworth,4800 block of Ryan Road,1,0,N/A
10/9/2016,South Carolina,Aynor,Garner Road,1,0,N/A
10/7/2016,Georgia,Richmond (county),Done Roven Road,1,0,N/A
10/3/2016,North Dakota,Sanborn,N/A,1,0,N/A
9/29/2016,Texas,Fort Worth,3712 North Elm Street,1,0,N/A
9/27/2016,Iowa,Cedar Rapids,800 block of 15th Street SE,1,0,N/A
9/22/2016,Maryland,Bladensburg,4200 block of 58th Avenue,1,0,N/A
9/17/2016,Alaska,Juneau,3000 block of Mountainwood Circle,1,0,N/A
9/14/2016,Texas,Bexar (county),N/A,1,0,N/A
9/12/2016,South Carolina,Spartanburg,320 Spruce Street,1,0,N/A
9/8/2016,California,Rosamond,2600 block of 25th Street West,1,0,N/A
9/5/2016,Texas,San Benito,200 block of Los Ranchitos,1,0,N/A
9/5/2016,Michigan,Kalamazoo,1500 block of Clinton Avenue,2,0,N/A
8/28/2016,Kentucky,Louisville,3015 Penway Ave,1,0,N/A
8/27/2016,Texas,San Benito,500 block of Doherty Street,1,0,N/A
8/15/2016,Florida,Naples,1900 Tamiami Trail N,1,0,N/A
8/12/2016,Pennsylvania,Mountville,17 West Main Street,1,0,N/A
8/9/2016,Idaho,New Plymouth,5000 block of Highway 52,1,0,N/A
8/6/2016,North Carolina,Shelby,105 Lindsey Lee Ln,1,0,N/A
8/5/2016,Illinois,Chicago,2700 block of West Evergreen Avenue,1,0,N/A
8/2/2016,South Carolina,Coward,4312 Circle Drive,1,1,N/A
8/2/2016,Ohio,Columbus,400 block of East Markison Avenue,1,0,N/A
8/1/2016,Oklahoma,Ardmore,1200 block of L Street,1,0,N/A
7/31/2016,Alabama,Birmingham (Homewood),1301 Lakeshore Dr.,1,0,N/A
7/30/2016,New York,Elmira,200 block of West Hudson Street,1,0,N/A
7/26/2016,Texas,San Antonio,3600 block of Callaghan Road,1,0,N/A
7/25/2016,Arizona,Tempe,1000 E Orange Street,1,0,N/A
7/22/2016,Indiana,Huntingburg,202 N. Main St.,1,0,N/A
7/19/2016,Texas,Alvin,3400 block of Oxford,1,0,N/A
7/15/2016,Florida,Tallahassee,2684 Tess Circle,1,0,N/A
7/15/2016,Texas,Houston,Sageland Drive,1,0,N/A
7/15/2016,Florida,Port Orange,829 Hudson Lane,1,0,N/A
7/8/2016,Texas,Mineral Wells,2600 block of S.W 8th Avenue,1,0,N/A
7/6/2016,Alabama,Toney,2500 block of Alabama 251,1,0,N/A
7/3/2016,Florida,Sarasota,4583 Bee Ridge Road,1,0,N/A
7/3/2016,Tennessee,Chattanooga (East Ridge),201 Eads Street,1,0,N/A
6/29/2016,Pennsylvania,Philadelphia,5300 block of E Walnut Lane,1,0,N/A
6/28/2016,Texas,San Antonio,8600 block of Star Creek Drive,1,0,N/A
6/27/2016,Arizona,Phoenix,1600 block of West Missouri Avenue,1,0,N/A
6/27/2016,Alaska,Wasilla,N/A,1,0,N/A
6/22/2016,Indiana,Indianapolis,3300 block of Wallace Avenue,1,0,N/A
6/22/2016,Georgia,Adel,800 block of Guy Street,1,0,N/A
6/17/2016,Pennsylvania,Pittsburgh,4290 Melwood Ave,1,0,N/A
6/13/2016,West Virginia,Fairmont,Cleveland Avenue,1,0,N/A
6/11/2016,Louisiana,Baton Rouge,3500 block of Wayne Avenue,1,0,N/A
6/7/2016,Michigan,Detroit,5300 block of Radnor,1,0,N/A
6/6/2016,Maryland,Annapolis,1300 block of Tyler Avenue,1,0,N/A
6/6/2016,Georgia,Hawkinsville,18 Franklin Street,1,0,N/A
6/3/2016,Missouri,Saint Louis,9500 block of Page Ave,1,0,N/A
6/3/2016,Colorado,Aurora,1575 Galena Street,1,0,N/A
6/3/2016,Illinois,Chicago,3500 block of South Parnell Avenue,1,0,N/A
5/25/2016,Washington,Seattle,6000 block of High Point Drive SW,1,0,N/A
5/19/2016,New York,Bronx,810 Astor Avenue,1,0,N/A
5/14/2016,Florida,Alford,Compass Lake Drive,1,0,N/A
5/10/2016,Louisiana,Shreveport,1100 block of Wilkinson Street,1,0,N/A
4/19/2016,California,Sacramento,7800 block of Sunrise Greens Drive,1,0,N/A
4/14/2016,California,Victorville,13000 block of Bennington Drive,1,0,N/A
4/10/2016,North Carolina,Granite Falls,Baton Church Road,1,0,N/A
4/2/2016,South Carolina,Rock Hill,800 block of Horseman Drive,1,0,N/A
3/31/2016,North Carolina,La Grange,Mimosa Lane and Maple Grove Dr,1,0,N/A
3/28/2016,Georgia,Douglas,900 block of South Coffee Avenue,1,0,N/A
3/27/2016,Mississippi,Brookhaven,Highway 550,1,0,N/A
3/25/2016,Hawaii,Mountain View,Oshiro Road,1,0,N/A
3/20/2016,Pennsylvania,Mount Pleasant,151 South Church St,1,0,N/A
3/19/2016,Florida,Apopka,1008 Sheeler Hills Drive,1,0,N/A
3/18/2016,Iowa,Cedar Rapids,1424 Bever Ave. SE,1,0,N/A
3/17/2016,South Carolina,Bennettsville,Spencer Street,1,0,N/A
3/14/2016,Texas,Bridgeport,County Road 3825,1,0,N/A
3/14/2016,West Virginia,Beckley,Bethel Road,1,0,N/A
3/14/2016,Missouri,Kansas City,North Flora and Northeast 80th Street,1,0,N/A
3/12/2016,Iowa,Oskaloosa,1593 290th Street,1,0,N/A
3/7/2016,West Virginia,Morgantown,Church Hill Drive,1,0,N/A
3/6/2016,Mississippi,Laurel,County Road 237,1,0,N/A
3/5/2016,South Dakota,Yankton,East Side Drive,1,0,N/A
2/27/2016,Florida,Miami Gardens,2200 block of Northwest 172nd Terrace,1,0,N/A
2/21/2016,Florida,Fountain,11601 Nonawood Road,1,0,N/A
2/21/2016,Mississippi,Philadelphia,Highway 16 West Pearl River Resort - Choctaw,1,0,N/A
2/20/2016,Ohio,Cleveland,N/A,1,0,N/A
2/19/2016,Louisiana,Baton Rouge,2138 Tennessee Street,1,0,N/A
2/18/2016,Louisiana,Baton Rouge,3811 Bradley Street,1,0,N/A
2/13/2016,Nevada,Las Vegas,Buffalo and Vegas Drive,1,0,N/A
2/11/2016,Georgia,Lawrenceville,1600 block of Balvaird Drive,1,0,N/A
2/11/2016,New York,Brooklyn,703 Miller Avenue,1,0,N/A
2/8/2016,Florida,Orlando,4700 block of Spottswood Drive,1,0,N/A
1/30/2016,Georgia,Atlanta,Meadowglen Village Lane,1,0,N/A
1/25/2016,Texas,Baytown,4100 block of Tumbleweed,2,0,N/A
1/25/2016,Kentucky,White Plains,Farmers Crossing Road,1,0,N/A
1/22/2016,Florida,Delray Beach (West Delray Beach),8000 block of Sawpine Drive,1,0,N/A
1/20/2016,Indiana,Charlestown,Sycamore Drive and Cottonwood Lane,1,0,N/A
1/17/2016,Missouri,Saint Louis,5300 block of Patton Ave,1,0,N/A
1/16/2016,Louisiana,Baton Rouge,1915 Birch Street,1,0,N/A
1/16/2016,Texas,Houston,5203 Dumfries Drive,1,0,N/A
1/14/2016,Pennsylvania,Hummelstown,200 block of West Main Street,1,0,N/A
1/12/2016,Ohio,Cincinnati,1200 block of Blanchard Avenue,1,0,N/A
1/11/2016,Pennsylvania,Duncannon,11D Rebecca Drive,1,1,N/A
1/9/2016,Alabama,Auburn,400 block of Webster Road,1,0,N/A
1/9/2016,Alabama,Mobile,2100 block of Agate Avenue,1,0,N/A
1/4/2016,Tennessee,Memphis,1400 block of Briercrest Lane,2,1,N/A
12/31/2015,Mississippi,Rolling Fork,68 Frontage Road,1,0,N/A
12/30/2015,Georgia,Lithonia,4500 block of Idlewood Park,1,0,N/A
12/24/2015,Tennessee,Nashville,400 block of Wilclay Drive,1,0,N/A
12/22/2015,Wisconsin,Beloit,212 8th Street,1,0,N/A
12/21/2015,Pennsylvania,Pittsburgh,200 block of Mathilda Street,3,0,N/A
12/21/2015,Missouri,Poplar Bluff,500 section of County Road 42222,1,0,N/A
12/19/2015,Louisiana,Thibodaux,117 Violet St,1,0,N/A
12/19/2015,Mississippi,Magee,N/A,1,0,N/A
12/18/2015,Louisiana,Patterson,Grandwood Drive,1,0,N/A
12/13/2015,Mississippi,Natchez,Mount Carmel Road,1,0,N/A
12/13/2015,Missouri,Kansas City,Interstate 435 and Winner Road,1,0,N/A
12/12/2015,Florida,Tampa,4611 E Whiteway Drive,1,0,N/A
12/10/2015,Texas,Universal City,300 block of Madrid,1,0,N/A
12/5/2015,Colorado,Englewood,South Santa Fe Drive,1,0,N/A
12/4/2015,Louisiana,Baton Rouge,2323 Spain St,1,0,N/A
12/3/2015,Texas,Webb (county),Farm to Market 2050 Rd,1,0,N/A
11/29/2015,Minnesota,Itasca (county),E. Natures Trail,1,0,N/A
11/28/2015,Arkansas,Jonesboro,710 N. Caraway Road,1,0,N/A
11/27/2015,Florida,West Palm Beach,1601 W 37th St,1,0,N/A
11/24/2015,Ohio,Toledo,100 block of East Carleton,0,2,N/A
11/19/2015,Virginia,Bohannon,The Long Ln and Myrtle Grove Ln,1,0,N/A
11/19/2015,Louisiana,Saint Gabriel (Iberville),Stassi Rd.,1,0,N/A
11/15/2015,Pennsylvania,York,200 block of North Richland Avenue,1,0,N/A
11/14/2015,Arkansas,Lockesburg,376 Arkansas 24,1,0,N/A
11/12/2015,New York,Bronx,363 East 171st Street,1,0,N/A
11/7/2015,California,Los Angeles,3500 block of Cesar Chavez Avenue,1,0,N/A
10/23/2015,Louisiana,Alexandria,N/A,1,0,N/A
10/18/2015,Illinois,Effingham,3200 block of South Banker Street,1,0,N/A
10/17/2015,Ohio,Pandora,13915 Road 3,1,0,N/A
10/17/2015,Idaho,Meridian,2300 block of E. Franklin Road,1,0,N/A
10/15/2015,South Carolina,Anderson,Dalrymple Road,1,0,N/A
10/13/2015,Louisiana,Baton Rouge,Hooper Road,1,0,N/A
10/10/2015,Maryland,Henderson,Ell Downes Road,1,0,N/A
10/5/2015,Georgia,Union City,4300 Flat Shoals Road,1,0,N/A
10/4/2015,California,Exeter,Horse Meadow,1,0,N/A
10/3/2015,Michigan,Detroit,14000 block of Steel Street,1,0,N/A
10/2/2015,Ohio,Carrollton,8400 block of Bay Road,1,0,N/A
10/2/2015,Florida,Jacksonville,Bullfinch Court,1,0,N/A
10/1/2015,New Mexico,Tucumcari,700 block of S 7th St,1,1,N/A
9/26/2015,Indiana,Evansville,500 block of S. Linwood,1,0,N/A
9/23/2015,Texas,San Antonio,1700 block of South Hamilton Street,1,0,N/A
9/13/2015,Colorado,Cedaredge (Grand Mesa),N/A,1,0,N/A
9/12/2015,Georgia,Forsyth,175 Rumble Road,1,0,N/A
9/11/2015,Kansas,Fort Riley,N/A,1,0,N/A
8/24/2015,Arizona,Buckeye,N/A,1,0,N/A
8/24/2015,Georgia,Ringgold,385 Edgemond Circle,1,0,N/A
8/20/2015,Georgia,Thomaston,105 Third St,1,0,N/A
8/20/2015,Texas,Fort Worth (Benbrook),5600 block of Shallow Run,1,0,N/A
8/20/2015,South Carolina,Charleston,7400 block of Northside Drive,1,0,N/A
8/13/2015,Florida,Hollywood,5321 NW 27th Place,1,0,N/A
8/12/2015,Illinois,Chicago,700 block of North Homan,1,0,N/A
8/10/2015,Kentucky,Catlettsburg,600 block of 28th Street,1,0,N/A
8/9/2015,Florida,Pomona Park,110 Pine Ave,1,0,N/A
8/6/2015,Pennsylvania,Smicksburg,381 Whitaker Rd,1,0,N/A
8/6/2015,Pennsylvania,Smicksburg,Whitaker Road,1,0,N/A
8/5/2015,Tennessee,Springfield,Clinard Road,1,0,N/A
7/30/2015,Kentucky,Louisville,9700 block of Hudson Lane,1,0,N/A
7/30/2015,Florida,Fort Lauderdale (Cooper City),10000 41st Street,1,0,N/A
7/27/2015,Colorado,Pueblo,2100 block of E. 14th Street,1,0,N/A
7/26/2015,North Carolina,Catawba (county),2800 block of Rocky Ford Road,1,0,N/A
7/20/2015,Wisconsin,Cassville,11129 Saint Charles Rd,1,0,N/A
7/20/2015,Texas,Fresno,1000 block of Cove Crest Trail,1,0,N/A
7/16/2015,Texas,San Antonio,5400 block of War Cloud Drive,1,0,N/A
7/15/2015,Ohio,Salem,6746 Salem Township Highway 103,1,0,N/A
7/12/2015,Connecticut,Berlin,65 Division Street,1,0,N/A
6/26/2015,Massachusetts,Billerica,300 block of Andover Road,1,0,N/A
6/22/2015,Arkansas,Blytheville,700-block of East McHaney Drive,1,0,N/A
6/12/2015,Illinois,Chicago,4700 block of West Addison Street,1,0,N/A
6/3/2015,Ohio,Hamilton,700 block of Fairview Avenue,1,0,N/A
5/23/2015,Arkansas,Pine Bluff,1400 block of Cherry Street,1,0,N/A
5/22/2015,Michigan,Kalamazoo,700 block of Dwight Street,1,0,N/A
5/16/2015,California,Perris,140 block of Metz Road,1,0,N/A
5/11/2015,Washington,Tacoma,9210 South Hosmer Street,1,0,N/A
5/10/2015,Ohio,Leavittsburg,205 Ruth Ave,1,0,N/A
5/3/2015,Minnesota,Minneapolis,4100 block of Fremont Avenue North,1,0,N/A
5/1/2015,California,Klamath,100 block of Klamath Boulevard,1,0,N/A
4/29/2015,Georgia,Augusta,1200 block of Holden Drive,1,0,N/A
4/19/2015,California,Victorville,14400 block of Moon Valley Street,1,0,N/A
4/14/2015,Ohio,Neffs,Pike Street,1,0,N/A
4/10/2015,Florida,Key West,2800 block of  Venetian Drive,1,0,N/A
4/10/2015,Texas,Houston,11290 Fondren,1,0,N/A
3/29/2015,North Carolina,Anson County,Jim Hanna Lane,1,0,N/A
3/17/2015,Washington,Grandview,200 block of Avenue E,1,0,N/A
3/17/2015,Oklahoma,Comanche,Highway 81,1,0,N/A
3/13/2015,Idaho,Caldwell,1600 block of East Cleveland Boulevard,1,0,N/A
3/7/2015,Wisconsin,Glen Flora,N7283 County Road B W,1,0,N/A
3/6/2015,Tennessee,Nashville,3024 Gwynwood Drive,1,0,N/A
3/5/2015,Pennsylvania,Philadelphia,2124 E Susquehanna Ave,1,0,N/A
2/26/2015,Texas,Garland,3900 block of Plymouth Drive,1,0,N/A
2/24/2015,Iowa,Vinton,1207 W. 4th Street,1,0,N/A
2/21/2015,South Dakota,Aberdeen,38312 124th St,1,0,N/A
2/21/2015,Louisiana,Baton Rouge,2014 Tennessee Street,1,0,N/A
2/7/2015,Texas,Dallas,5900 block of Highland Village Dr.,1,0,N/A
2/3/2015,Tennessee,Deer Lodge,Perkins Trail,1,0,N/A
1/27/2015,Michigan,Detroit,15800 block of Lappin Street,1,0,N/A
1/26/2015,Florida,Merritt Island,1014 Floral Lane,1,0,N/A
1/25/2015,Minnesota,Eagan,1794 Silver Bell Circle,1,0,N/A
1/18/2015,Georgia,Baconton,N/A,1,0,N/A
